
2025-06-15;70;4;Rendu
2025-06-18;70;4;Rendu
2025-06-21;70;4;Rendu
2025-06-22;70;4;Rendu
2025-06-22;40;4;Rendu
2025-06-23;40;4;Rendu
2025-06-23;10;4;Rendu
2025-06-23;40;4;Rendu
2025-06-23;10;4;Rendu
2025-06-24;40;4;Rendu
2025-06-25;10;4;Rendu
2025-06-25;40;4;Rendu
2025-06-25;10;4;Rendu
2025-06-25;40;4;Rendu
2025-06-25;10;4;Rendu
2025-06-26;40;4;Rendu
2025-06-26;10;4;Rendu
2025-06-26;40;4;Rendu
2025-06-27;10;4;Rendu
2025-06-28;40;4;Rendu
2025-06-28;10;4;emprunt
2025-06-28;40;4;emprunt
2025-06-28;10;4;emprunt
2025-06-28;40;4;emprunt
2025-06-28;10;4;Rendu
2025-06-28;40;4;Rendu
2025-06-28;10;4;emprunt
2025-06-28;40;4;emprunt
2025-06-28;10;4;emprunt
2025-06-28;40;4;emprunt
2025-06-28;40;4;emprunt
2025-06-28;40;4;emprunt
2025-06-28;40;4;emprunt
2025-06-28;40;4;emprunt
